Artikelnummer;Bezeichnung;Verkauft1;Verkauft2;Verkauft3;Verkauft4
MF-22462.2;OXVA Xlim Pro Kit, Gleamy Blue;5;5;4;8
MF-22462.4;OXVA Xlim Pro Kit, Gleamy Grey;5;6;4;3
MF-22462.5;OXVA Xlim Pro Kit, Gleamy Green;5;5;2;9
MF-22462.6;OXVA Xlim Pro Kit, Gleamy Pink;5;5;2;9
MF-22462.7;OXVA Xlim Pro Kit, Gleamy Red;4;5;4;8
MF-22463;OXVA Xlim Pro Ersatzpod 3St., 0,8 Ohm Mesh Coil;16;;10;26
MF-22463.1;OXVA Xlim Pro Ersatzpod 3St., 0,6 Ohm Mesh Coil;18;;8;35
MF-22464;5EL Pod2Go Basisgerät, Blau;7;1;;
MF-22464.3;5EL Pod2Go Basisgerät, Weiß;2;3;;
MF-22465;5EL Pod2Go Pod 16mg/ml, Strawberry Kiwi;10;23;2;
MF-22465.1;5EL Pod2Go Pod 16mg/ml, Pink Lemonade;7;19;26;
MF-22465.2;5EL Pod2Go Pod 16mg/ml, Fruity Mix;10;15;17;
MF-22465.3;5EL Pod2Go Pod 16mg/ml, Blueberry Ice;8;41;;
MF-22465.4;5EL Pod2Go Pod 16mg/ml, Berry Mint;5;25;21;
MF-22465.5;5EL Pod2Go Pod 16mg/ml, Green Apple Splash;6;11;16;
MF-22465.6;5EL Pod2Go Pod 16mg/ml, Watermelon Bubble Gum;11;18;13;
MF-22465.7;5EL Pod2Go Pod 16mg/ml, Peach Ice Tea;13;30;6;
MF-22466;Cola -  BarSalts Vampire Vape Nikotinsalz Liquid, 20mg Nikotinsalz;2;;1;1
MF-22467;Grape -  BarSalts Vampire Vape Nikotinsalz Liquid, 20mg Nikotinsalz;8;2;3;6
MF-22469;Kiwi Passion Fruit Guava -  BarSalts Vampire Vape Nikotinsalz Liquid, 20mg Nikotinsalz;2;10;2;3
MF-22470;Pink Lemonade -  BarSalts Vampire Vape Nikotinsalz Liquid, 20mg Nikotinsalz;13;2;2;2
MF-22471;Strawberry Ice -  BarSalts Vampire Vape Nikotinsalz Liquid, 20mg Nikotinsalz;1;;2;1
MF-22473;Strawberry Burst - Vampire Vape Liquid 10ml, 0 mg;8;;7;
MF-22473.1;Strawberry Burst - Vampire Vape Liquid 10ml, 3 mg;15;;10;10
MF-22473.2;Strawberry Burst - Vampire Vape Liquid 10ml, 6 mg;10;;8;13
MF-22482;Heisenberg Gum - Vampire Vape Aroma 14ml;2;4;5;
MF-22483;Golisi GL-A06 USB Kabel;1;;;
MF-22484;Red Pineapple - Revoltage Hybrid Nikotinsalz Liquid 10ml, 20 mg;34;22;55;5
MF-22484.1;Red Pineapple - Revoltage Hybrid Nikotinsalz Liquid 10ml, 10mg;35;10;42;7
MF-22488;Vanilla Custard - Zazo Classics Liquid 10ml, 12 mg;3;8;6;
MF-22488.1;Vanilla Custard - Zazo Classics Liquid 10ml, 4 mg;7;15;12;8
MF-22489;Crazy Cactus - Big Bottle Aroma 10ml;27;15;21;9
MF-22490;Malibu Mango - Big Bottle Aroma 10ml;21;14;16;12
MF-22491;Arctic Mint - Big Bottle Aroma 10ml;16;7;16;5
MF-22492;Strawberry Kiwi Ice - Pod Salt Fusion 10ml Liquid, 20mg Nikotinsalz;11;7;24;
MF-22493;Vimo - Dr. Frost Aroma 14ml;9;6;13;1
MF-22494;?Pink Soda - Dr. Frost Aroma 14ml;11;;20;
MF-22495;Iceberg - Dr. Frost Aroma 14ml;6;4;3;5
MF-22496;Einfach Fruchtig Frisch - Big Bottle Aroma 10ml;38;30;27;20
MF-22497;KiBa - Velo Juicy Aroma 5ml;3;;1;
MF-22501;WiMa - Velo Juicy Aroma 5ml;1;;;
MF-22503;KaCe - Velo Juicy Aroma 5m;2;;;
MF-22504;Astrane - Velo Juicy Aroma 5m;1;;;
MF-22505;Uwell Caliburn & Ironfist L Kit, Matte Black;13;6;1;
MF-22505.1;Uwell Caliburn & Ironfist L Kit, Coral Red;3;;;
MF-22505.2;Uwell Caliburn & Ironfist L Kit, Metallic Silver;3;3;1;3
MF-22506;Uwell Caliburn & Ironfist L Pod Tank - ohne Coil;9;3;1;1
MF-22507.1;Erdbeere - Zazo Classics Liquid 10ml, 4 mg;5;6;;13
MF-22507.2;Erdbeere - Zazo Classics Liquid 10ml, 8 mg;1;2;9;6
MF-22508;Tobacoffee - Zazo Classics Liquid 10ml, 12 mg;5;10;;
MF-22508.1;Tobacoffee - Zazo Classics Liquid 10ml, 4 mg;3;10;;7
MF-22509;Buttermilch Zitrone Feenchen - Nebelfee - Aroma 5ml;16;4;7;1
MF-22510;Eiskaffee Feenchen - Nebelfee - Aroma 5ml;25;5;20;8
MF-22511;Eistee Zitrone Feenchen - Nebelfee - Aroma 5ml;7;9;;
MF-22512;Erdbeer Kiwi Wassermelone Feenchen - Nebelfee - Aroma 5ml;12;3;4;
MF-22513;Frischer Minz Tabak Feenchen - Nebelfee - Aroma 5ml;2;1;;
MF-22514;Himbeer Wassermelone Feenchen - Nebelfee - Aroma 5ml;8;2;2;
MF-22515;Rhabarber Vanille Creme Feenchen - Nebelfee - Aroma 5ml;15;5;4;3
MF-22516;Vanille Rum Tabak Feenchen - Nebelfee - Aroma 5ml;4;3;;18
MF-22517;Blue Slush - Dr. Frost Aroma 14ml;11;14;5;1
MF-22518;?Lemonade - Dr. Frost Aroma 14ml;11;;;
MF-22519;Cola Vera - Polar TNT Vape Aroma 10ml;6;4;6;4
MF-22520;Wanted Overdosed Nikotinsalz - Traube Menthol, 20mg Nikotinsalz;33;30;21;33
MF-22520.1;Wanted Overdosed Nikotinsalz - Traube Menthol, 10mg Nikotinsalz;27;23;;
MF-22521;Wanted Overdosed Nikotinsalz - Apfel Pfirsich, 20mg Nikotinsalz;36;52;21;18
MF-22521.1;Wanted Overdosed Nikotinsalz - Apfel Pfirsich, 10mg Nikotinsalz;26;4;;
MF-22522;Wanted Overdosed Nikotinsalz - Energy, 20mg Nikotinsalz;35;16;11;1
MF-22522.1;Wanted Overdosed Nikotinsalz - Energy, 10mg Nikotinsalz;22;18;10;
MF-22523;Wanted Overdosed Nikotinsalz - Beeren Limonade, 20mg Nikotinsalz;39;44;20;11
MF-22523.1;Wanted Overdosed Nikotinsalz - Beeren Limonade, 10mg Nikotinsalz;27;3;;
MF-22524;Berry Mix - BOSSJUICE - Aroma 10ml;19;5;14;1
MF-22525;Frozen Cherry - BOSSJUICE - Aroma 10ml;15;2;2;2
MF-22526;Green Apple - BOSSJUICE - Aroma 10ml;17;5;14;2
MF-22527;Pink Lemonade - BOSSJUICE - Aroma 10ml;19;2;9;2
MF-22528;Watermelon Ice - BOSSJUICE - Aroma 10ml;18;1;6;2
MF-22530;Pomegranate Breeze - Monsoon Liquid 10ml, 20mg Nikotinsalz;1;1;;
MF-22531;Watermelon Crush - Monsoon Liquid 10ml, 20mg Nikotinsalz;2;;;
MF-22532;Geekvape Sonder Q Pod Kit, Black;14;6;10;9
MF-22532.2;Geekvape Sonder Q Pod Kit, Green;3;6;8;3
MF-22532.3;Geekvape Sonder Q Pod Kit, White;6;4;;
MF-22532.4;Geekvape Sonder Q Pod Kit, Sky Blue;3;5;11;1
MF-22532.5;Geekvape Sonder Q Pod Kit, Rose Pink;2;3;5;
MF-22532.6;Geekvape Sonder Q Pod Kit, Gray;1;3;8;8
MF-22532.8;Geekvape Sonder Q Pod Kit, Red Blue;4;7;4;
MF-22532.9;Geekvape Sonder Q Pod Kit, Green Purple;3;2;4;1
MF-22533;Geekvape Q Ersatzpod 3st., 1,2 Ohm;18;;;
MF-22533.1;Geekvape Q Ersatzpod 3st., 0,8 Ohm;28;;;
MF-22534;Bloody Dragon - Fruizee Aroma 8ml;19;3;1;4
MF-22535;Crazy Mango - Fruizee Aroma 8ml;5;2;3;
MF-22536;Magic Beach - Fruizee Aroma 8ml;13;1;2;1
MF-22537;Bloody Lime - Fruizee Aroma 8ml;5;;;
MF-22538;Bloody Mango - Fruizee Aroma 8ml;8;3;1;2
MF-22539;Bloody Summer - ohne Koolada  - Fruizee Aroma 8ml;10;3;4;5
MF-22540;Fire Moon - Fruizee Aroma 8ml;7;3;6;1
MF-22541;Lemon Orange Mandarine - mit Koolada - Fruizee Aroma 8ml;4;1;1;1
MF-22542;Lemon Orange Mandarine - ohne Koolada - Fruizee Aroma 8ml;12;4;1;2
MF-22543;Long Bay - Fruizee Aroma 8ml;5;1;4;
MF-22544;Purple Beach - Fruizee Aroma 8ml;9;3;2;
MF-22545;Sea Star - Fruizee Aroma 8ml;6;1;;
MF-22546;Summer Beach - Fruizee Aroma 8ml;7;1;;1
MF-22547;Sun Bay - Fruizee Aroma 8ml;6;;1;3
MF-22548;Sunset Lover - Fruizee Aroma 8ml;4;1;1;2
MF-22549;Wind Star - Fruizee Aroma 8ml;8;1;5;1
MF-22550;Blueberry - ELFLIQ - Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;94;48;98;104
MF-22550.1;Blueberry - ELFLIQ - Nikotinsalz Liquid 10ml, 10mg Nikotinsalz;34;35;95;69
MF-22551;Cinnamon Roll Pancakes - Strapped STAX Nikotinsalz Liquid, 20mg Nikotinsalz;7;10;1;10
MF-22551.1;Cinnamon Roll Pancakes - Strapped STAX Nikotinsalz Liquid, 10mg Nikotinsalz;10;5;;6
MF-22552;Fresh Blueberry Pancakes - Strapped STAX Nikotinsalz Liquid, 20mg Nikotinsalz;8;6;1;5
MF-22552.1;Fresh Blueberry Pancakes - Strapped STAX Nikotinsalz Liquid, 10mg Nikotinsalz;7;;;5
MF-22553;Maple Syrup Pancakes - Strapped STAX Nikotinsalz Liquid, 20mg Nikotinsalz;8;5;;
MF-22553.1;Maple Syrup Pancakes - Strapped STAX Nikotinsalz Liquid, 10mg Nikotinsalz;8;5;1;
MF-22554;Strawberry Ice Cream Pancakes - Strapped STAX Nikotinsalz Liquid, 20mg Nikotinsalz;14;6;2;8
MF-22554.1;Strawberry Ice Cream Pancakes - Strapped STAX Nikotinsalz Liquid, 10mg Nikotinsalz;9;;;6
MF-22555;Sugar & Lemon Pancakes - Strapped STAX Nikotinsalz Liquid, 20mg Nikotinsalz;7;10;;5
MF-22555.1;Sugar & Lemon Pancakes - Strapped STAX Nikotinsalz Liquid, 10mg Nikotinsalz;10;5;1;4
MF-22556;Vanilla Cream Pancakes - Strapped STAX Nikotinsalz Liquid, 20mg Nikotinsalz;7;1;6;4
MF-22556.1;Vanilla Cream Pancakes - Strapped STAX Nikotinsalz Liquid, 10mg Nikotinsalz;8;2;;
MF-22557;Apple Peach - ELFLIQ - Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;48;27;61;59
MF-22557.1;Apple Peach - ELFLIQ - Nikotinsalz Liquid 10ml, 10mg Nikotinsalz;23;27;35;69
MF-22558;Cherry - ELFLIQ - Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;62;21;47;62
MF-22558.1;Cherry - ELFLIQ - Nikotinsalz Liquid 10ml, 10mg Nikotinsalz;36;1;42;51
MF-22559;Cola - ELFLIQ - Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;57;30;47;27
MF-22559.1;Cola - ELFLIQ - Nikotinsalz Liquid 10ml, 10mg Nikotinsalz;39;16;28;27
MF-22560;Grape - ELFLIQ - Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;72;53;84;51
MF-22560.1;Grape - ELFLIQ - Nikotinsalz Liquid 10ml, 10mg Nikotinsalz;37;19;24;35
MF-22561;Kiwi Passion Fruit Guava- ELFLIQ - Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;62;37;49;35
MF-22561.1;Kiwi Passion Fruit Guava- ELFLIQ - Nikotinsalz Liquid 10ml, 10mg Nikotinsalz;27;15;44;33
MF-22562;Peach Ice - ELFLIQ - Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;73;56;71;
MF-22562.1;Peach Ice - ELFLIQ - Nikotinsalz Liquid 10ml, 10mg Nikotinsalz;34;54;12;
MF-22563;Pink Lemonade - ELFLIQ - Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;58;67;64;64
MF-22563.1;Pink Lemonade - ELFLIQ - Nikotinsalz Liquid 10ml, 10mg Nikotinsalz;35;16;26;45
MF-22564;Strawberry Ice - ELFLIQ - Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;59;55;76;74
MF-22564.1;Strawberry Ice - ELFLIQ - Nikotinsalz Liquid 10ml, 10mg Nikotinsalz;33;25;36;
MF-22565;Watermelon - ELFLIQ - Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;73;62;125;62
MF-22565.1;Watermelon - ELFLIQ - Nikotinsalz Liquid 10ml, 10mg Nikotinsalz;54;46;;
MF-22566;Strawberry Kiwi - ELFLIQ - Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;61;56;55;45
MF-22566.1;Strawberry Kiwi - ELFLIQ - Nikotinsalz Liquid 10ml, 10mg Nikotinsalz;32;19;48;55
MF-22567;Blueberry Sour Raspberry - ELFLIQ - Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;41;46;78;70
MF-22567.1;Blueberry Sour Raspberry - ELFLIQ - Nikotinsalz Liquid 10ml, 10mg Nikotinsalz;32;32;32;2
MF-22568;Lemon-Cool - Zazo Classics Liquid 10ml, 12 mg;10;;5;
MF-22568.1;Lemon-Cool - Zazo Classics Liquid 10ml, 4 mg;10;;2;3
MF-22568.2;Lemon-Cool - Zazo Classics Liquid 10ml, 8 mg;10;2;2;
MF-22569;Watermelon - Zazo Classics Liquid 10ml, 12 mg;10;10;;10
MF-22569.1;Watermelon - Zazo Classics Liquid 10ml, 4 mg;17;20;11;20
MF-22569.2;Watermelon - Zazo Classics Liquid 10ml, 8 mg;15;15;10;20
MF-22570;Wild Fruits - Zazo Classics Liquid 10ml, 12 mg;10;6;4;
MF-22570.1;Wild Fruits - Zazo Classics Liquid 10ml, 4 mg;16;1;10;13
MF-22570.2;Wild Fruits - Zazo Classics Liquid 10ml, 8 mg;12;4;3;10
MF-22571;Zitrone-Limette - Zazo Classics Liquid 10ml, 12 mg;10;10;;9
MF-22571.1;Zitrone-Limette - Zazo Classics Liquid 10ml, 4 mg;11;;5;3
MF-22571.2;Zitrone-Limette - Zazo Classics Liquid 10ml, 8 mg;13;4;3;13
MF-22572;Grape Mint - Zazo Classics Liquid 10ml, 12 mg;11;3;5;
MF-22572.1;Grape Mint - Zazo Classics Liquid 10ml, 4 mg;14;;5;5
MF-22572.2;Grape Mint - Zazo Classics Liquid 10ml, 8 mg;14;3;3;
MF-22573;Green Apple - Zazo Classics Liquid 10ml, 12 mg;5;5;;20
MF-22573.1;Green Apple - Zazo Classics Liquid 10ml, 4 mg;10;5;2;5
MF-22573.2;Green Apple - Zazo Classics Liquid 10ml, 8 mg;20;5;14;10
MF-22574;Himbeere - Zazo Classics Liquid 10ml, 12 mg;9;5;6;8
MF-22574.1;Himbeere - Zazo Classics Liquid 10ml, 4 mg;11;4;5;18
MF-22574.2;Himbeere - Zazo Classics Liquid 10ml, 8 mg;13;3;2;10
MF-22575;Ice Bonbon - Zazo Classics Liquid 10ml, 12 mg;7;11;12;5
MF-22575.1;Ice Bonbon - Zazo Classics Liquid 10ml, 4 mg;14;6;9;5
MF-22575.2;Ice Bonbon - Zazo Classics Liquid 10ml, 8 mg;11;9;12;6
MF-22576;Banana Ice - Pod Salt Core 10ml Liquid, 20mg Nikotinsalz;12;6;12;6
MF-22577;Blue Ice - Pod Salt 10ml Liquid, 20mg Nikotinsalz;7;;2;
MF-22578;Black Custard - Dr. Vapes Aroma 14ml;12;5;2;6
MF-22579;Lotus Cheesecake - Dr. Vapes Aroma 14ml;15;3;4;
MF-22580;Unicorn - Dr. Vapes Aroma 14ml;9;3;5;2
MF-22581;Emerald - GEMS - Dr. Vapes Aroma 14ml;5;;1;
MF-22582;Opal - GEMS - Dr. Vapes Aroma 14ml;9;;3;
MF-22583;Ruby - GEMS - Dr. Vapes Aroma 14ml;5;;;1
MF-22584;Topaz - GEMS - Dr. Vapes Aroma 14ml;3;5;4;
MF-22590;Watermelon Bubblegum - Linvo NicSalt 10ml 20mg;5;4;22;11
MF-22591;Pink Lemonade - Linvo NicSalt 10ml 20mg;2;8;16;6
MF-22592;Cactus Ice - Linvo NicSalt 10ml 20mg;8;8;19;6
MF-22593;Blueberry Watermelon - Linvo NicSalt 10ml 20mg;10;12;24;12
MF-22594;Apple Peach - Linvo NicSalt 10ml 20mg;5;1;16;5
MF-22595;Watermelon Ice - Linvo NicSalt 10ml 20mg;2;5;21;13
MF-22596;Strawberry Ice Cream - Linvo NicSalt 10ml 20mg;1;5;11;14
MF-22597;Raspberry Ice - Linvo NicSalt 10ml 20mg;2;7;14;8
MF-22598;Rainbow Candy - Linvo NicSalt 10ml 20mg;2;1;15;20
MF-22600;Mango Ice - Linvo NicSalt 10ml 20mg;9;1;10;6
MF-22601;Mango Apple Pear - Linvo NicSalt 10ml 20mg;9;;4;10
MF-22602;Lychee Ice - Linvo NicSalt 10ml 20mg;8;4;11;11
MF-22603;Juicy Peach - Linvo NicSalt 10ml 20mg;8;1;5;12
MF-22604;Grape Ice - Linvo NicSalt 10ml 20mg;6;7;13;9
MF-22605;Storm Drink - Linvo NicSalt 10ml 20mg;3;3;16;3
MF-22606;Cherry Ice - Linvo NicSalt 10ml 20mg;6;3;8;5
MF-22607;Cherry Cola Ice - Linvo NicSalt 10ml 20mg;6;5;10;7
MF-22608;Blueberry Mint - Linvo NicSalt 10ml 20mg;8;3;11;9
MF-22609;Blue Razz Ice - Linvo NicSalt 10ml 20mg;6;3;16;14
MF-22610;Bloody Summer - mit Koolada  - Fruizee Aroma 8ml;2;9;;
MF-22611;Ice Berg - Dr. Frost Salt Nic 20mg 10ml Liquid;5;7;;3
MF-22612;Vimo - Dr. Frost Salt Nic 20mg 10ml Liquid;8;5;12;10
MF-22617.1;Grape Ice - BAR EDTN - Riot Nikotinsalz Liquid 10ml, 10mg Nikotinsalz;1;;5;2
MF-22618;Guava Passionfruit Pineapple - BAR EDTN - Riot Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;1;2;;7
MF-22619;Mango Peach Pineapple - BAR EDTN - Riot Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;3;3;;11
MF-22621;Peach Ice Tea - BAR EDTN - Riot Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;6;2;4;2
MF-22621.1;Peach Ice Tea - BAR EDTN - Riot Nikotinsalz Liquid 10ml, 10mg Nikotinsalz;1;9;;
MF-22624;Sour Strawberry - BAR EDTN - Riot Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;1;;1;2
MF-22625;Strawberry Blueberry Ice - BAR EDTN - Riot Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;6;6;7;1
MF-22627;Watermelon Ice - BAR EDTN - Riot Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;2;2;;16
MF-22628;Harambae - Twelve Monkeys Aroma 10ml;8;3;10;2
MF-22629;Hakuna - Twelve Monkeys Aroma 10ml;10;2;4;4
MF-22630;Geekvape Z200 Mod, Black;3;2;2;
MF-22630.1;Geekvape Z200 Mod, Gunmetal;1;;3;2
MF-22630.2;Geekvape Z200 Mod, Silver;1;;2;
MF-22630.3;Geekvape Z200 Mod, Blue;1;;;
MF-22631;Geekvape Z200 Kit, Black;3;4;1;
MF-22631.1;Geekvape Z200 Kit, Gunmetal;4;1;2;
MF-22631.2;Geekvape Z200 Kit, Silver;4;2;1;
MF-22631.3;Geekvape Z200 Kit, Blue;3;2;;
MF-22632;Banane - n'Eis - Aroma 10ml;5;13;7;2
MF-22633;Erdbeere - n'Eis - Aroma 10ml;4;8;5;7
MF-22634;Malaga - n'Eis - Aroma 10ml;4;6;1;5
MF-22635;Schokolade - n'Eis - Aroma 10ml;4;11;;8
MF-22636;Vanille - n'Eis - Aroma 10ml;7;8;;5
MF-22637;Waldbeere - n'Eis - Aroma 10ml;7;11;2;2
MF-22638;Mint - Zazo Classics Liquid 10ml, 12 mg;3;;4;3
MF-22638.1;Mint - Zazo Classics Liquid 10ml, 4 mg;4;;9;2
MF-22638.2;Mint - Zazo Classics Liquid 10ml, 8 mg;3;12;12;2
MF-22639;Peppermint - Zazo Classics Liquid 10ml, 12 mg;7;;4;2
MF-22639.1;Peppermint - Zazo Classics Liquid 10ml, 4 mg;9;;;2
MF-22639.2;Peppermint - Zazo Classics Liquid 10ml, 8 mg;7;2;5;2
MF-22640;Waldmeister - Zazo Classics Liquid 10ml, 12 mg;6;6;1;2
MF-22640.1;Waldmeister - Zazo Classics Liquid 10ml, 4 mg;8;5;4;5
MF-22640.2;Waldmeister - Zazo Classics Liquid 10ml, 8 mg;7;3;1;2
MF-22641;Tobacco 2 - Zazo Classics Liquid 10ml, 12 mg;3;7;;17
MF-22641.1;Tobacco 2 - Zazo Classics Liquid 10ml, 4 mg;7;4;7;
MF-22641.2;Tobacco 2 - Zazo Classics Liquid 10ml, 8 mg;7;13;;12
MF-22642;Lakritz - Zazo Classics Liquid 10ml, 12 mg;8;2;;
MF-22642.1;Lakritz - Zazo Classics Liquid 10ml, 4 mg;7;1;5;7
MF-22642.2;Lakritz - Zazo Classics Liquid 10ml, 8 mg;7;;9;
MF-22643;Erdbeer-Sahne - Zazo Classics Liquid 10ml, 12 mg;4;6;;
MF-22643.1;Erdbeer-Sahne - Zazo Classics Liquid 10ml, 4 mg;9;5;5;4
MF-22643.2;Erdbeer-Sahne - Zazo Classics Liquid 10ml, 8 mg;20;1;3;10
MF-22644;Coffee - Zazo Classics Liquid 10ml, 12 mg;9;1;6;4
MF-22644.1;Coffee - Zazo Classics Liquid 10ml, 4 mg;7;4;;6
MF-22644.2;Coffee - Zazo Classics Liquid 10ml, 8 mg;20;1;2;2
MF-22645;Cola - Zazo Classics Liquid 10ml, 12 mg;5;3;2;
MF-22645.1;Cola - Zazo Classics Liquid 10ml, 4 mg;8;5;6;4
MF-22645.2;Cola - Zazo Classics Liquid 10ml, 8 mg;7;1;2;10
MF-22646;Double Apple - Zazo Classics Liquid 10m, 12 mg;9;7;8;2
MF-22646.1;Double Apple - Zazo Classics Liquid 10m, 4 mg;11;;8;1
MF-22646.2;Double Apple - Zazo Classics Liquid 10m, 8 mg;11;9;;14
MF-22647;Geekvape Wenax Q Kit, Jet Black;3;17;;1
MF-22647.1;Geekvape Wenax Q Kit, Rose Pink;1;4;2;1
MF-22647.3;Geekvape Wenax Q Kit, Turquoise Green;2;8;15;
MF-22647.4;Geekvape Wenax Q Kit, Cobalt Blue;2;8;11;1
MF-22647.5;Geekvape Wenax Q Kit, Gradient Violet;1;9;7;
MF-22647.6;Geekvape Wenax Q Kit, Gradient Dark;1;19;20;
MF-22648;Geekvape Q Pod 3St., 0,8 Ohm Mesh Coil;2;32;58;12
MF-22648.1;Geekvape Q Pod 3St., 0,6 Ohm Mesh Coil;4;40;45;29
MF-22648.2;Geekvape Q Pod 3St., 1,2 Ohm Mesh Coil;8;31;49;15
MF-22649;BP MODS Lightsaber X Pod Kit, Black Grenadil;5;3;;1
MF-22649.1;BP MODS Lightsaber X Pod Kit, Gunmetal Grenadil;1;;;
MF-22650;IMIST SS316 Mesh Wire Wickeldraht 3 Meter, 5mm - 150 Mesh;1;2;;
MF-22650.2;IMIST SS316 Mesh Wire Wickeldraht 3 Meter, 5mm - 300 Mesh;6;1;3;
MF-22664;Berry Bomb - Big Bottle Aroma 10ml;15;15;18;14
MF-22665;Fresh Guave - Big Bottle Aroma 10ml;2;6;8;1
MF-22666;Fresh Kanzyi - Big Bottle Aroma 10ml;19;25;31;11
MF-22681;Mango, Peach & Pineapple - PUNX - Riot Squad Aroma 5ml;1;29;13;2
MF-22845.2;Aspire Flexus AIO Kit, Black;1;;22;8
MF-22845.5;Aspire Flexus AIO Kit, Red;1;;13;1
MF-22845.6;Aspire Flexus AIO Kit, Blue;1;;13;3
